"","x"
"323","LRP5L"
"324","SNX22"
"325","LOC101928551"
"326","CYP4F2"
"327","MTCP1"
"328","OLAH"
"329","THEMIS2"
"330","KLRD1"
"331","NKG7"
"332","ABCA9"
"333","HJV"
"334","ITGAM"
"335","ZDHHC11"
"336","KDM3B"
"337","LEF1"
"338","MGAM"
"339","LAT2"
"340","SYTL2"
"341","CASP1"
"342","HCLS1"
"343","SRPX"
"344","MPPED2"
"345","COL6A5"
"346","ACSS1"
"347","CD84"
"348","MDK"
"349","ZGRF1"
"350","ESYT3"
"351","TM4SF4"
"352","RYR1"
"353","H2BFS"
"354","CSF1R"
"355","RAB14"
"356","SYK"
"357","TAF1L"
"358","FPR1"
"359","CRYZL2P"
"360","POLQ"
"361","NPIPB15"
"362","NLRC4"
"363","MRPL42"
"364","MEOX2"
"365","RNASET2"
"366","BLM"
"367","MAST3"
"368","PPBP"
"369","MPP3"
"370","SKAP2"
"371","IL32"
"372","KIF25-AS1"
"373","LINC00424"
"374","LOC101927089"
"375","FOXS1"
"376","CD300LF"
"377","GIMAP6"
"378","TCF24"
"379","PARVB"
"380","BAX"
"381","ARPC1B"
"382","C9orf41-AS1"
"383","PLEK"
"384","NBL1"
"385","SMAD4"
"386","DBF4B"
"387","PIM2"
"388","SIGLEC1"
"389","ATP1A2"
"390","CSPG4"
"391","LY86"
"392","ALG1"
"393","CCDC3"
"394","PKD1L2"
"395","IL1RN"
"396","LINC00923"
"397","MYH7B"
"398","RNASE1"
"399","NLN"
"400","PIK3AP1"
"401","IL2RB"
"402","SLC40A1"
"403","CCR1"
"404","CASP8"
"405","HYPK"
"406","C1orf162"
"407","EBLN2"
"408","CHRNA1"
"409","ADORA2A-AS1"
"410","ITGAL"
"411","C3orf70"
"412","FLJ45513"
"413","KMO"
"414","CD44"
"415","FAM13A-AS1"
"416","OPRM1"
"417","CXCL16"
"418","CXorf65"
"419","LOC100505498"
"420","MCUB"
"421","LINC01140"
"422","GBP6"
"423","CD180"
"424","EPB41L4A-AS1"
"425","RAB8A"
"426","SLAMF8"
"427","FAM218A"
"428","CD200R1"
"429","CTSS"
"430","FAM46B"
"431","COL15A1"
"432","PYCARD"
"433","TMEM246"
"434","RAP2B"
"435","ARMC4"
"436","SELENOT"
"437","TLL2"
"438","MARCH1"
"439","SAMD3"
"440","MAP3K20-AS1"
"441","TMEM30B"
"442","HRH1"
"443","AXL"
"444","RAB37"
"445","EIF2S3"
"446","CCDC18-AS1"
"447","NSMCE4A"
"448","KCNIP2-AS1"
"449","TTLL9"
"450","CST3"
"451","RABEP1"
"452","RNF19B"
"453","TINAG"
"454","ITGB2"
"455","LOC101927811"
"456","RNASE2"
"457","KNCN"
"458","PPP1R9B"
"459","ARHGAP30"
"460","COX11"
"461","LOC100996385"
"462","ADA"
"463","FAM78B"
"464","RSRC1"
"465","MMRN2"
"466","LILRB2"
"467","IGFBP4"
"468","ZNF493"
"469","PRRT2"
"470","CAB39L"
