Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
GSM1005418	0.028580529272232	0	0.0435354813105354	0.144929810542207	0	0.178625081569728	0	0.0458988305860171	0.00307726063711965	0	0	0.064865183397111	0.00469155151616461	0	0.0584869962766681	0.349247948962244	0.00957836303322964	0	0.0563264773248881	0	0	0.0121564855718558	0.485	0.0395611119357566	1.07046900810028
GSM1005420	0.177788310370457	0	0	0	0	0.332991966025267	0	0	0	0.0183144754684752	0	0.0774239992569083	0.0413242643792405	0	0.0698737642171487	0.252161458723883	0	0	0.0301217615586206	0	0	0	0.589	0.0269579665771574	1.07951571712944
GSM1005422	0.0311031454900849	0.052891201951345	0.0340966798716645	0.164750872044878	0	0.119225210538148	0	0.0472758485176523	0.0123902682963082	0.00378203461742491	0	0	0	0	0.0328637639904117	0.334149849163579	0.0126050563472579	0.00725911733206563	0.115366490932751	0	0	0.0322404609064286	0.387	0.0535909911955979	1.05624124388452
GSM1005424	0.0512983535622041	0	0.02684973397854	0	0	0.203216185132235	0	0	0.0247150306087835	0.0900432323758856	0	0.0551893436786203	0.0351861791264356	0	0.0176002478928208	0.314588834326652	0.0029443225804974	0.0214444177628434	0.137039072068633	0	0.0102052344521305	0.00967981245371914	0.076	0.130638620959041	1.02586367868289
GSM1005426	0.0764976672073741	0.0899192981454948	0.117313116694481	0.0995798626625663	0	0.158188198145625	0	0.00235537265707996	0.0118455776091078	0.138237047708537	0	0	0.0182557451632627	0	0.0560034323531945	0.181910867748517	0	0	0.00665003837957406	0.011844508051054	0.00909099391919688	0.0223082735549344	0	0.468765354942509	0.882491151703396
GSM1005428	0.0260049775371901	0.00158712482709574	0.13653821184443	0.157937347504076	0	0	0	0.00148245598120699	0.00769566443839285	0.0106692425495442	0	0.0200151421392075	0.048373180441325	0	0.0294754549425238	0.37438353922167	0.0235909034541633	0	0.116621592316368	0.01921878001273	0	0.0264063827900767	0	0.342064511598662	0.942296319752186
GSM1005430	0.00681957738850452	0.00982044949704178	0.0231114025047664	0.124242864696511	0	0.148420045675905	0.0347501447482023	0	0	0.00959525496396845	0.0110643141000647	0	0.0381890615871069	0	0.0368345197606943	0.319535053673857	0	0.0142134345742932	0.0731186869620125	0.0152472223224425	0.0620896458569864	0.0729483216876424	0.025	0.183459964545713	1.00472831403306
GSM1005432	0.0364177422039664	0	0.110304633360834	0.0653241219645834	0	0.131204812943155	0.00267462944131141	0	0	0.0627372591103201	0	0.0139048871895237	0.020343344432997	0	0.055053129978676	0.292415370003329	0.0281527008892181	0	0.143238760196444	0	0.00713870451582693	0.031089903769815	0.003	0.267742405197348	0.970794700138646
GSM1005434	0.0678622486277601	0	0.0354256937402559	0.177760675065286	0	0.103397142847957	0	0.0394214048498153	0	0.0545281798080751	0	0.0397872668506231	0.0440244861825075	0	0.0146292700704434	0.220191024014133	0	0	0.057590039277401	0	0	0.145382568665742	0.049	0.154082570191522	1.02575540514074
GSM1005436	0.0488980816422491	0	0.0585934350471238	0.0971003838929853	0	0.0453154230682321	0	0	0.0157446736687078	0.0139457842042842	0	0.0436374393513112	0.0561945899512738	0	0.0189029425145164	0.414245617740646	0	0	0.122702268347421	0	0	0.0647193605712488	0.034	0.172330906481444	1.01406709716861
